Log File,Correctly Fixed,Suggested Fixes,Number of Queries
Chart_7,No,10,40
JacksonCore_18,No,14,38
Math_77,No,23,40
Compress_11,No,21,40
JacksonCore_4,No,13,40
Closure_171,No,14,40
Compress_30,No,8,40
Closure_174,No,6,40
Compress_45,No,12,40
Closure_57,No,13,40
Lang_20,No,15,40
Closure_107,Yes,3,24
Csv_16,No,15,40
Jsoup_40,No,8,40
Chart_16,No,15,40
Lang_61,No,16,40
Jsoup_21,No,14,40
Closure_118,No,9,27
Jsoup_2,No,12,40
Codec_2,No,4,35
Math_70,No,8,40
Math_12,No,4,25
Lang_27,Yes,11,21
JacksonCore_24,No,25,40
Cli_33,No,14,40
Codec_15,No,20,40
Math_30,Yes,2,7
Math_45,No,8,40
JacksonCore_12,No,18,40
Cli_26,No,9,40
JacksonCore_23,No,11,40
Csv_11,No,7,40
Lang_34,No,10,40
Math_87,No,14,40
Closure_155,No,5,13
Csv_2,No,9,40
JacksonCore_20,No,18,40
Math_19,No,4,40
Lang_32,No,12,40
Lang_16,No,33,40
Closure_76,No,22,40
JacksonCore_21,No,12,40
Lang_22,Yes,2,7
Math_76,No,26,40
Compress_33,No,14,40
Compress_12,No,18,40
Csv_7,No,22,40
Closure_167,No,13,40
Closure_56,No,14,40
Closure_165,No,9,40
Lang_8,No,20,40
Cli_28,No,13,40
Cli_3,No,23,40
Closure_98,No,11,40
Jsoup_56,No,11,40
Lang_40,No,5,40
Jsoup_38,No,9,40
Codec_11,No,13,40
Closure_31,Yes,8,24
Closure_7,No,15,40
Math_31,No,18,40
processed_Cli_6,No,0,14
Closure_80,No,5,40
Closure_27,No,19,40
Closure_47,No,15,40
Compress_36,No,13,40
Cli_25,No,7,16
Math_64,No,17,40
Closure_162,No,24,40
Closure_26,No,6,16
Compress_6,No,12,40
Closure_83,No,5,40
Closure_96,No,5,40
Lang_11,No,6,20
Cli_9,No,21,40
Closure_70,No,6,40
Math_17,No,2,23
Closure_91,No,6,40
JacksonCore_7,No,22,40
Closure_39,No,10,40
Jsoup_34,No,14,40
Closure_14,No,9,33
JacksonCore_8,No,9,40
Closure_52,No,10,40
Closure_158,No,16,27
Lang_47,No,21,40
Cli_38,No,13,40
Lang_18,No,3,40
Closure_29,No,9,36
Closure_35,No,20,40
JacksonCore_6,No,12,40
Math_3,No,14,40
Jsoup_27,No,14,40
Jsoup_92,No,22,40
Jsoup_72,No,19,40
Closure_129,No,6,40
Jsoup_76,No,7,40
Jsoup_59,No,14,40
JacksonCore_17,No,24,40
Math_63,No,11,30
Chart_11,No,9,40
Closure_120,No,8,19
Codec_6,No,11,40
Lang_1,No,18,40
JacksonCore_2,No,27,40
Closure_36,No,8,40
Math_4,Yes,3,11
Math_66,No,11,40
Compress_31,Yes,26,40
Csv_6,Yes,3,9
Closure_130,No,10,40
Jsoup_79,No,10,40
Codec_18,No,12,40
Closure_170,No,30,40
Closure_1,No,8,29
Math_5,No,8,40
Math_46,No,12,40
Cli_29,No,13,40
Lang_57,No,12,40
Chart_9,No,17,40
Math_61,No,12,39
Lang_62,No,13,40
Closure_38,Yes,16,40
Lang_49,No,12,40
Chart_21,No,17,40
Codec_8,No,16,28
Lang_21,Yes,1,8
Compress_41,No,17,40
Cli_12,No,12,40
Closure_16,No,23,40
Closure_78,No,30,40
Chart_8,No,8,40
Jsoup_75,No,11,40
Closure_79,No,14,40
Math_102,No,14,40
Closure_18,No,13,40
Closure_49,No,0,1
Math_59,No,10,40
Chart_14,No,8,36
Compress_17,No,2,13
Jsoup_42,No,15,40
Jsoup_69,No,17,40
Jsoup_17,Yes,3,14
Math_73,No,10,40
Jsoup_78,No,17,40
Math_51,No,15,40
Lang_35,No,9,40
Cli_39,No,7,40
Math_56,No,20,40
Compress_39,No,9,40
Closure_34,No,7,40
Closure_8,No,11,40
Compress_34,No,17,40
Closure_111,No,11,40
Closure_108,No,10,40
Math_7,No,2,8
Cli_23,No,22,40
Math_91,No,26,40
Math_96,No,16,40
Jsoup_25,Yes,4,9
Closure_125,No,13,25
Math_62,No,34,40
Compress_32,Yes,2,7
Math_26,No,7,40
Jsoup_30,No,19,40
Cli_1,No,23,40
processed_Closure_1,No,0,40
Lang_52,No,13,40
JacksonCore_25,Yes,1,8
Closure_144,No,0,1
Closure_163,No,0,3
Chart_23,No,6,40
Closure_116,No,14,30
Jsoup_90,No,15,40
Math_72,No,7,40
Compress_46,No,19,40
Math_9,No,13,36
Math_37,No,17,40
Closure_168,Yes,6,15
Math_22,Yes,4,15
Chart_3,No,15,40
Closure_142,No,15,40
processed_Cli_25,No,6,25
Jsoup_13,No,18,40
Chart_17,Yes,1,7
Jsoup_74,No,21,37
Closure_85,No,16,40
Jsoup_44,No,16,40
Math_38,No,18,40
Lang_42,No,10,40
Jsoup_33,No,13,40
Math_41,No,15,31
Closure_104,No,11,40
Lang_48,No,4,40
_,No,0,1077
Csv_3,No,15,40
Closure_11,No,14,40
Jsoup_32,No,8,40
Closure_63,No,3,38
Compress_29,No,19,40
Closure_87,No,23,40
Lang_28,No,6,40
Math_16,No,14,40
Closure_172,No,8,40
Compress_28,No,16,40
Math_90,No,16,40
Jsoup_48,No,23,40
Chart_12,No,13,40
Codec_17,Yes,8,28
Closure_62,Yes,1,11
Closure_143,No,12,40
Closure_72,No,4,40
Math_52,No,12,21
Closure_146,No,19,40
Jsoup_81,No,6,19
Math_67,No,19,40
Jsoup_65,No,12,40
Compress_44,Yes,3,8
Cli_24,No,16,40
Cli_13,No,15,40
Jsoup_11,No,11,40
Closure_50,No,7,37
Jsoup_51,No,2,17
Compress_3,No,21,40
Lang_46,No,21,40
Closure_60,No,12,40
Jsoup_1,No,10,35
Closure_95,No,11,40
Closure_161,No,13,40
Closure_122,No,3,11
Csv_13,No,14,40
Math_49,No,20,40
processed_Cli_9,No,17,40
Closure_115,Yes,9,34
Lang_43,No,0,5
Jsoup_68,No,24,40
Math_89,No,12,40
Jsoup_6,No,20,40
Closure_25,No,24,40
Jsoup_52,No,24,33
Jsoup_55,No,8,40
Compress_7,No,8,40
Lang_56,No,10,40
Closure_166,No,17,40
Codec_10,No,25,40
Cli_14,Yes,4,11
Compress_27,No,14,40
Closure_128,No,16,35
Closure_119,No,6,29
JacksonCore_5,Yes,7,14
Cli_18,No,13,40
Closure_135,No,10,23
Closure_2,No,12,40
Closure_15,No,6,21
