Log File,Correctly Fixed,Suggested Fixes,Number of Queries
Math_77,No,17,40
Closure_171,No,10,40
Closure_174,No,7,80
Closure_57,No,7,40
Closure_107,No,10,40
Chart_16,No,12,40
Closure_118,No,11,40
Codec_2,Yes,1,8
Math_70,Yes,1,5
Cli_8,Yes,2,12
Math_12,No,6,40
Cli_33,No,19,40
Codec_15,No,19,40
Math_30,Yes,1,5
Math_45,Yes,2,13
Cli_26,No,10,40
Math_87,No,11,40
Closure_155,No,0,25
Math_19,Yes,1,8
Math_76,No,9,40
Closure_167,No,6,40
Closure_56,No,9,40
Closure_165,No,2,40
Cli_28,Yes,2,7
Cli_3,No,25,40
Codec_11,No,10,40
Closure_31,Yes,1,11
Closure_7,No,9,40
Math_31,No,17,40
Closure_27,No,11,40
Closure_47,No,7,40
Cli_25,No,13,22
Math_64,No,7,27
Closure_162,No,0,40
Closure_26,No,8,31
Cli_9,No,16,40
Closure_70,No,3,15
Math_17,No,1,11
Closure_39,No,13,40
Closure_14,Yes,2,24
Closure_52,No,17,40
Closure_158,No,3,40
Closure_29,No,12,26
Closure_35,No,12,40
Math_3,No,16,40
Math_63,Yes,1,6
Chart_11,Yes,1,5
Codec_6,No,6,40
Closure_36,No,7,37
Math_4,Yes,3,11
Math_66,No,15,40
Codec_18,Yes,5,12
Closure_170,No,10,40
Closure_1,No,6,26
Math_5,Yes,1,7
Math_46,No,9,40
Cli_29,No,16,40
Chart_9,Yes,1,7
Math_61,No,11,40
Closure_38,Yes,1,4
Chart_21,No,3,15
Codec_8,No,11,40
Cli_12,No,11,40
Closure_16,No,12,40
Math_102,Yes,12,33
Closure_18,Yes,1,38
Closure_49,No,0,9
Math_59,Yes,1,4
Math_57,Yes,1,5
Math_73,Yes,5,16
Math_51,No,17,40
Cli_39,No,16,40
Math_56,No,15,40
Closure_34,No,0,40
Closure_8,No,12,40
Closure_111,No,7,23
Closure_108,No,0,80
Math_7,No,7,40
Cli_23,No,15,40
Math_91,No,12,40
Math_96,No,13,40
Math_62,No,26,40
Math_26,Yes,1,11
Cli_1,No,23,36
Closure_163,No,0,27
Chart_23,No,8,40
Closure_116,No,6,40
Math_72,Yes,1,17
Math_9,No,5,33
Math_37,No,13,40
Closure_168,No,10,40
Math_22,Yes,1,7
Chart_3,No,12,40
Chart_17,Yes,1,8
Math_38,No,13,40
Math_41,Yes,5,19
Closure_104,No,18,40
Closure_11,Yes,2,13
Closure_63,No,2,40
Math_16,No,19,36
Closure_172,No,14,40
Math_90,No,16,40
Chart_12,No,4,40
Codec_17,Yes,1,5
Closure_62,Yes,1,7
Math_52,No,7,40
Math_67,No,9,40
Cli_24,No,11,40
Cli_13,No,4,40
Closure_50,No,12,40
Closure_60,No,16,40
Closure_161,No,9,40
Math_49,No,7,37
Closure_115,Yes,4,29
Math_89,No,11,40
Closure_25,No,10,40
Closure_166,No,14,40
Codec_10,No,13,80
Cli_14,No,15,40
Closure_119,Yes,2,30
Closure_2,No,4,40
Closure_15,No,5,22
Codec_1,Yes,2,8
Codec_4,No,6,40
Closure_164,No,12,40
Closure_61,No,12,40
Math_97,No,13,40
Math_71,No,21,40
Math_47,No,15,40
Closure_152,No,10,40
Closure_24,No,9,40
Math_79,No,8,40
Math_44,No,14,40
Chart_18,No,15,40
Closure_54,No,16,40
Closure_40,No,8,40
Closure_58,No,8,28
Chart_1,Yes,1,4
Math_55,No,17,40
Math_14,No,11,40
Closure_3,No,10,40
Math_104,Yes,4,11
Math_85,Yes,2,5
Chart_22,No,16,40
Cli_31,No,12,40
Closure_157,No,6,40
Closure_44,No,9,40
Codec_16,Yes,2,19
Math_99,No,15,40
Codec_3,Yes,2,8
Chart_19,No,5,40
Closure_173,No,15,40
Math_68,No,7,40
Cli_22,No,13,40
Math_58,No,14,40
Chart_13,Yes,1,7
Chart_10,No,7,40
Closure_65,Yes,1,4
Chart_25,No,13,40
Math_43,No,3,40
Math_25,No,6,40
Chart_26,No,8,40
Math_78,Yes,3,9
Cli_35,No,12,40
Math_10,No,12,34
Cli_15,No,14,40
Math_11,Yes,1,12
Math_48,No,8,30
Math_80,Yes,4,14
Closure_66,No,5,40
Codec_9,Yes,2,39
Closure_10,Yes,1,12
Closure_106,No,10,40
Chart_4,No,16,40
Closure_13,No,2,39
Chart_5,No,21,40
Closure_48,No,22,40
Math_69,Yes,1,7
Closure_21,No,15,39
Closure_46,No,20,40
Cli_21,No,17,40
Cli_30,No,12,40
Closure_12,No,1,40
Math_82,Yes,3,35
Chart_2,No,11,40
