Log File,Correctly Fixed,Suggested Fixes,Number of Queries
Chart_7,Yes,1,4
Chart_16,No,2,40
Chart_11,No,9,78
Chart_9,Yes,2,10
Chart_21,No,0,40
Chart_8,No,9,40
Chart_14,No,12,40
Chart_23,No,0,40
Chart_3,No,0,40
Chart_17,Yes,8,31
Chart_12,No,3,40
Chart_18,No,5,40
Chart_1,No,0,1
Chart_22,No,0,40
Chart_19,Yes,7,22
Chart_13,Yes,1,6
Chart_10,No,0,78
Chart_25,No,9,40
Chart_26,No,13,40
Chart_4,No,0,15
Chart_5,No,9,62
Chart_2,No,0,40
Chart_24,Yes,1,6
Chart_15,Yes,4,17
Chart_6,No,0,40
Chart_20,Yes,1,7
