Log File,Correctly Fixed,Suggested Fixes,Number of Queries
Chart_7,No,0,40
Chart_16,No,0,40
Chart_11,No,0,40
Chart_9,No,0,40
Chart_21,No,0,40
Chart_8,No,0,40
Chart_14,No,0,40
Chart_23,No,0,40
Chart_3,No,0,40
Chart_17,No,0,40
Chart_12,No,0,40
Chart_18,No,0,40
Chart_1,No,0,40
Chart_22,No,0,40
Chart_19,No,0,40
Chart_13,No,0,40
Chart_10,No,0,40
Chart_25,No,0,40
Chart_26,No,0,40
Chart_4,No,0,40
Chart_5,No,0,40
Chart_2,No,0,40
Chart_24,No,0,40
Chart_15,No,0,40
Chart_6,No,0,40
Chart_20,No,0,24
